wavelength xh2o xco xco2 xch4 xnh3 xh2s xph3 xhcn xc2h2 xoh xna xk xso2
2.898067713352123320e+00 -2.339866781867229761e+01 -4.019507056783471910e+01 -2.398827956196363331e+01 -2.569177717466664390e+01 -2.218305062920831716e+01 -2.542524003960305023e+01 -2.378749889369382942e+01 -2.365307531518863726e+01 -2.406745749029406767e+01 -2.565833160239699495e+01 -2.995771117153371677e+01 -2.990818655205238485e+01 -2.588258407946098671e+01
2.897102012681229244e+00 -2.335109628727046882e+01 -3.947890323931152068e+01 -2.393664350682091424e+01 -2.584319357872699285e+01 -2.258718993364925609e+01 -2.477740640247750292e+01 -2.367421235916874167e+01 -2.470809035156146649e+01 -2.448273514426743347e+01 -2.851496925614893740e+01 -2.995767597658557335e+01 -2.990814209542890367e+01 -2.584892785791766556e+01
2.896136633803295002e+00 -2.230829283784692052e+01 -3.845977447784338921e+01 -2.384859051557856091e+01 -2.520201853131416669e+01 -2.202906772512388400e+01 -2.523380065870457045e+01 -2.346974673360718810e+01 -2.394990453462601110e+01 -2.403055643385198792e+01 -2.871297508946043564e+01 -2.995764080167185384e+01 -2.990809766362910693e+01 -2.580365219179007141e+01
2.895171576611091258e+00 -2.357694268113260705e+01 -3.829605570305282214e+01 -2.385398348738513974e+01 -2.535831140250460436e+01 -2.275216147561558699e+01 -2.519946913963008583e+01 -2.380951013758373236e+01 -2.365007890265346546e+01 -2.458401416857703481e+01 -2.475921176388336775e+01 -2.995760563163940660e+01 -2.990805323751023437e+01 -2.597018855666360082e+01
2.894206840997424646e+00 -2.377233193540079981e+01 -3.888360444051062359e+01 -2.381581166657703363e+01 -2.569798484038051001e+01 -2.287104697233830208e+01 -2.499334254892152529e+01 -2.370107933230103470e+01 -2.424608532529135374e+01 -2.401943261352460368e+01 -2.894259780654688896e+01 -2.995757045408950958e+01 -2.990800880140851348e+01 -2.625994782354936774e+01
2.893242426855139549e+00 -2.202067357602502184e+01 -4.073875876234146176e+01 -2.373597431370190591e+01 -2.569093229867305439e+01 -2.287733327468821543e+01 -2.525054063522694392e+01 -2.366237427392868753e+01 -2.391981155267193770e+01 -2.404149738144863946e+01 -2.900086939274930486e+01 -2.995753526901923891e+01 -2.990796435531989417e+01 -2.622662331484057674e+01
2.892278334077114099e+00 -2.291617202172041345e+01 -4.010255159953693749e+01 -2.376399825559400725e+01 -2.543410460672068751e+01 -2.310055958450955060e+01 -2.541718295806613170e+01 -2.337358135735057019e+01 -2.370631228894230347e+01 -2.402494106670928176e+01 -2.502412713599688487e+01 -2.995750007642569557e+01 -2.990791989924036898e+01 -2.620450576607028736e+01
2.891314562556261514e+00 -2.160204117177706351e+01 -3.846843055320408666e+01 -2.374004811303852236e+01 -2.590469546919365840e+01 -2.285930773798054005e+01 -2.516524884255783689e+01 -2.368747072697559375e+01 -2.398073326561742391e+01 -2.441954872651935560e+01 -2.695943328370237779e+01 -2.995746497396354968e+01 -2.990787555652217833e+01 -2.621766966034325108e+01
2.890351112185532756e+00 -2.281221085933679404e+01 -3.888924302066381955e+01 -2.380477179327094817e+01 -2.601045634146059271e+01 -2.290008538856802289e+01 -2.508670670164587335e+01 -2.357093073622123924e+01 -2.363539766281195043e+01 -2.416929281081950975e+01 -2.434378990288066547e+01 -2.995742990580098564e+01 -2.990783125664425413e+01 -2.617722381478117200e+01
2.889387982857913428e+00 -2.154580336993333489e+01 -4.344816828528996666e+01 -2.371200940203828011e+01 -2.587582747549487650e+01 -2.283758382984264657e+01 -2.519555015892374428e+01 -2.332233775510973217e+01 -2.449487742194625639e+01 -2.446400750480902175e+01 -2.755807143757551003e+01 -2.995739482229253881e+01 -2.990778693689692602e+01 -2.617983858996874957e+01
2.888425174466424661e+00 -2.231732272720849153e+01 -3.819393014760398586e+01 -2.365046141325402118e+01 -2.579483541369163291e+01 -2.271668076492484190e+01 -2.482860427295133476e+01 -2.342637530247340294e+01 -2.392029318148819783e+01 -2.438860446235085178e+01 -2.308825694896422576e+01 -2.995735972343171127e+01 -2.990774259727129447e+01 -2.617909739353002863e+01
2.887462686904122666e+00 -2.235820203404310291e+01 -3.838531221349249023e+01 -2.364455363983695335e+01 -2.568670172112284433e+01 -2.279918447881050625e+01 -2.522944996262967976e+01 -2.368991682546605304e+01 -2.368531850790663995e+01 -2.414868220542566846e+01 -2.777385870826944370e+01 -2.995732460921194473e+01 -2.990769823775839242e+01 -2.620294180387570293e+01
2.886500520064101405e+00 -2.207475087455546259e+01 -3.810968995117581670e+01 -2.365155489074231809e+01 -2.556314297475380926e+01 -2.312090425875381783e+01 -2.528849383393127326e+01 -2.356644665501493208e+01 -2.445965309516685693e+01 -2.410719017093994054e+01 -2.506725727115625446e+01 -2.995728947962673061e+01 -2.990765385834933454e+01 -2.617489429527141098e+01
2.885538673839487700e+00 -2.254034714238766313e+01 -3.916807146045128007e+01 -2.366319296804383043e+01 -2.618950403926661608e+01 -2.285349958966416395e+01 -2.519884532404596911e+01 -2.369538082603848750e+01 -2.398988944095436437e+01 -2.417183014981060651e+01 -2.133899603459718008e+01 -2.995725433466959942e+01 -2.990760945903528523e+01 -2.614819584707466760e+01
