x,order1,order2,order3
0,,,
1,,,
2,,,
3,,,
4,85.16072,,145.55500
5,85.18921,,145.33471
6,85.15540,,145.34802
7,85.11122,,145.36136
8,85.06705,,145.37473
9,85.02289,,145.38813
10,84.97873,,145.40157
11,84.93459,,145.41504
12,84.89046,,145.42854
13,84.84635,,145.44208
14,84.80224,,145.45566
15,84.75814,,145.46927
16,84.71405,,145.48292
17,84.66997,,145.49661
18,84.62591,,145.51033
19,84.58185,,145.52410
20,84.53781,,145.53791
21,84.49377,,145.55175
22,84.44975,,145.56564
23,84.40574,,145.57957
24,84.36174,,145.59355
25,84.31774,,145.60756
26,84.27376,,145.62162
27,84.22979,,145.63573
28,84.18583,,145.64988
29,84.14188,,145.66408
30,84.09795,,145.67833
31,84.05402,,145.69262
32,84.01010,,145.70696
33,83.96619,,145.72135
34,83.92230,,145.73579
35,83.87841,,145.75028
36,83.83454,,145.76482
37,83.79067,,145.77942
38,83.74682,,145.79406
39,83.70298,,145.80876
40,83.65915,,145.82352
41,83.61532,,145.83832
42,83.57151,,145.85319
43,83.52771,,145.86810
44,83.48392,,145.88308
45,83.44014,,145.89811
46,83.39637,,145.91320
47,83.35262,,145.92835
48,83.30887,,145.94356
49,83.26513,,145.95883
50,83.22141,,145.97416
51,83.17769,,145.98955
52,83.13398,,146.00500
53,83.09029,,146.02051
54,83.04661,,146.03609
55,83.00293,,146.05174
56,82.95927,,146.06744
57,82.91562,,146.08322
58,82.87198,,146.09906
59,82.82834,,146.11496
60,82.78472,,146.13093
61,82.74111,,146.14698
62,82.69751,,146.16309
63,82.65393,,146.17927
64,82.61035,,146.19552
65,82.56678,,146.21184
66,82.52322,,146.22823
67,82.47968,,146.24470
68,82.43614,,146.26124
69,82.39261,,146.27785
70,82.34910,,146.29453
71,82.30559,,146.31130
72,82.26210,,146.32813
73,82.21862,,146.34505
74,82.17514,,146.36204
75,82.13168,,146.37911
76,82.08823,,146.39625
77,82.04479,,146.41348
78,82.00136,,146.43079
79,81.95794,,146.44817
80,81.91453,,146.46564
81,81.87113,,146.48319
82,81.82774,,146.50082
83,81.78437,,146.51854
84,81.74100,,146.53634
85,81.69764,,146.55422
86,81.65430,,146.57219
87,81.61096,,146.59025
88,81.56763,,146.60839
89,81.52432,,146.62662
90,81.48102,,146.64494
91,81.43772,,146.66335
92,81.39444,,146.68184
93,81.35117,,146.70043
94,81.30790,,146.71911
95,81.26465,,146.73788
96,81.22141,,146.75674
97,81.17818,,146.77569
98,81.13496,,146.79474
99,81.09175,,146.81388
100,81.04855,,146.83312
101,81.00537,,146.85245
102,80.96219,,146.87188
103,80.91902,,146.89140
104,80.87586,,146.91102
105,80.83272,,146.93075
106,80.78958,,146.95057
107,80.74646,,146.97048
108,80.70334,,146.99050
109,80.66024,,147.01061
110,80.61714,,147.03082
111,80.57406,,147.05113
