# Target: WASP-39b
# Author: dos Santos
wave,wave_error,dppm,dppm_err,order
0.888710439,0.010270656,21375.15881,226.7698924,1
0.908419685,0.010205254,20974.86462,212.4655036,1
0.928233821,0.010034961,21059.72881,198.8891841,1
0.948148939,0.009763688,21158.00358,224.521645,1
0.967704974,0.009851496,21001.60027,237.9755619,1
0.987351049,0.009849265,21387.49373,155.9100339,1
1.00708234,0.009761817,21202.84904,216.3573849,1
1.026434813,0.010053188,21001.01656,192.7730394,1
1.046326719,0.009805127,21070.20235,165.5391542,1
1.066294114,0.009481575,20932.16524,166.7929112,1
1.085867836,0.009551696,20795.24212,159.2608742,1
1.105508254,0.009555123,21411.19629,150.4799935,1
1.125212601,0.009494619,21522.86448,165.3707792,1
1.14450652,0.009844544,21606.73732,125.9592951,1
1.163856614,0.010138294,21474.67673,169.3422497,1
1.183733651,0.009905101,21422.26436,155.6034373,1
1.203664098,0.009618497,21180.84486,186.572042,1
1.223168838,0.009757601,21364.96785,142.130258,1
1.24271998,0.009850303,21136.251,135.9472189,1
1.262314802,0.009899324,20658.7405,138.8119315,1
1.281951609,0.009906361,20648.64848,172.4408764,1
1.301627696,0.009874119,21234.89787,136.8827946,1
1.321341742,0.009803916,21231.80883,166.5567411,1
1.341090953,0.009698548,21737.26479,101.7187872,1
1.360391104,0.010042241,21842.88882,129.8369281,1
1.3802052,0.009871989,21094.28062,162.2823485,1
1.400048774,0.009672258,21754.13481,145.2077596,1
1.419435751,0.009929125,21567.16249,158.8462257,1
1.438847893,0.010160827,21814.70053,149.4936572,1
1.458769764,0.0098828,21996.67567,165.0558609,1
1.478714722,0.009581686,21791.44282,148.9814669,1
1.49819417,0.009746082,21376.7978,134.1007042,1
1.517692614,0.009891482,21240.72648,191.131949,1
1.537209034,0.010018905,20899.22647,159.2517428,1
1.556741792,0.010129991,21198.47112,171.6430504,1
1.576289761,0.010225866,21478.45734,152.704168,1
1.596341088,0.009818383,21160.91069,151.4934004,1
1.616405809,0.009397506,20792.32996,160.2428691,1
1.635993052,0.009454107,21348.03184,163.2459937,1
1.655590928,0.009500074,20869.27976,167.3186012,1
1.675198579,0.009536267,20783.50723,161.6135698,1
1.694814926,0.009563763,21172.82912,136.5580378,1
1.714438963,0.00958357,20790.755,149.7030581,1
1.734070158,0.009596219,20736.81513,183.4306692,1
1.753707433,0.009602788,21094.77141,123.4512183,1
1.773350048,0.009604017,21325.44859,136.5245579,1
1.792997456,0.009600453,21252.90544,171.4834078,1
1.812648976,0.009592776,21362.07859,201.8359926,1
