wave,wave_error,dppm,dppm_err,order,quality
0.60267,0.00184,21330.8,253.16,2,0
0.60636,0.00184,21710.83,171.72,2,0
0.61001,0.00183,21214.59,201.23,2,0
0.61378,0.00188,21164.98,197.8,2,0
0.6175,0.00186,21214.51,100.42,2,0
0.62124,0.00187,21314.24,157.24,2,0
0.625,0.00188,21209.12,89.61,2,0
0.62897,0.00199,20850.8,234.6,2,0
0.63252,0.00177,20850.36,139.74,2,0
0.6363,0.00189,21217.81,154.68,2,0
0.6401,0.0019,21033.01,143.34,2,0
0.64389,0.00189,21147.96,74.33,2,0
0.64771,0.00191,21262.4,54.88,2,0
0.65152,0.0019,21055.29,96.1,2,0
0.65537,0.00193,21034.82,101.08,2,0
0.65919,0.00191,21027.8,52.01,2,0
0.66306,0.00193,21030.3,89.88,2,0
0.66692,0.00193,21310.31,86.83,2,0
0.67079,0.00194,21077.88,98.1,2,0
0.67468,0.00194,20994.47,104.82,2,0
0.67855,0.00194,20927.49,96.18,2,0
0.68245,0.00195,20826.18,100.0,2,0
0.68636,0.00195,20968.44,85.8,2,0
0.69051,0.00207,20987.93,68.44,2,0
0.69465,0.00207,21079.68,92.69,2,0
0.69858,0.00196,20970.78,57.17,2,0
0.70275,0.00209,21031.9,119.97,2,0
0.70713,0.00219,21043.94,49.52,2,0
0.71156,0.00221,20943.75,74.53,2,0
0.71597,0.00221,21010.23,57.79,2,0
0.72039,0.00221,20907.38,62.14,2,1
0.72482,0.00222,20298.43,93.74,2,1
0.72927,0.00222,20544.11,101.72,2,1
0.73372,0.00223,21182.26,92.55,2,0
0.73838,0.00233,20809.63,79.34,2,0
0.74265,0.00213,21036.74,77.12,2,0
0.74716,0.00226,20953.8,59.92,2,0
0.75166,0.00225,20862.41,109.95,2,0
0.75616,0.00225,20823.73,84.33,2,0
0.76066,0.00225,20966.32,65.69,2,0
0.76523,0.00228,21403.58,136.54,2,0
0.77016,0.00246,21286.69,93.53,2,0
0.7747,0.00227,20887.83,81.94,2,0
0.77925,0.00227,20827.24,93.87,2,0
0.78381,0.00228,20896.48,112.96,2,0
0.78838,0.00228,20835.79,159.99,2,0
0.79295,0.00229,20909.2,98.95,2,0
0.79753,0.00229,21041.83,137.17,2,0
0.80211,0.00229,21129.13,80.34,2,0
0.80717,0.00253,21120.76,125.38,2,0
0.81177,0.0023,21133.39,129.4,2,0
0.81639,0.00231,21089.22,65.84,2,0
0.82102,0.00232,20792.44,68.46,2,0
0.82564,0.00231,20996.88,127.14,2,0
0.8305,0.00243,21242.13,107.27,2,0
0.8356,0.00255,20988.26,114.29,2,0
0.84072,0.00256,21057.93,98.48,2,0
0.85559,0.00488,21036.92,59.99,1,0
0.86535,0.00488,21099.29,53.08,1,0
0.87512,0.00489,21047.69,81.47,1,0
0.88494,0.00491,20979.94,68.35,1,0
0.89475,0.00491,21215.53,58.47,1,0
0.9051,0.00517,21111.75,54.04,1,0
0.9159,0.0054,21155.03,37.07,1,0
0.9267,0.0054,21345.92,35.94,1,0
0.93752,0.00541,21298.92,51.23,1,0
0.94841,0.00544,21289.42,72.05,1,0
0.95931,0.00545,21249.72,51.83,1,0
