# Target: WASP-39b
# Instrument: NIRISS/SOSS
# Pipeline: transitspectroscopy
# Author: Espinoza
wave,wave_error,dppm,dppm_err,order
0.60107, 0.00020, 22327.70, 833.10, 2
0.60147, 0.00020, 21751.20, 787.90, 2
0.60187, 0.00020, 21600.70, 786.50, 2
0.60227, 0.00020, 20761.20, 793.70, 2
0.60267, 0.00020, 21680.80, 1062.80, 2
0.60307, 0.00020, 21421.90, 730.00, 2
0.60347, 0.00020, 22090.20, 849.10, 2
0.60387, 0.00020, 19833.40, 887.90, 2
0.60427, 0.00020, 20510.10, 908.00, 2
0.60467, 0.00020, 21549.80, 677.20, 2
0.60517, 0.00025, 21396.50, 765.90, 2
0.60557, 0.00020, 22012.00, 733.50, 2
0.60597, 0.00020, 21107.00, 729.60, 2
0.60637, 0.00020, 21119.70, 684.90, 2
0.60677, 0.00020, 21407.70, 772.10, 2
0.60717, 0.00020, 22030.80, 723.20, 2
0.60757, 0.00020, 22805.60, 739.80, 2
0.60797, 0.00020, 21968.40, 721.10, 2
0.60837, 0.00020, 20909.30, 759.30, 2
0.60887, 0.00025, 20015.00, 758.30, 2
0.60927, 0.00020, 21536.10, 709.40, 2
0.60967, 0.00020, 21746.50, 990.50, 2
0.61007, 0.00020, 21481.00, 691.50, 2
0.61087, 0.00040, 21746.70, 888.00, 2
0.61127, 0.00020, 20748.60, 645.70, 2
0.61167, 0.00020, 21533.50, 678.00, 2
0.61217, 0.00025, 20275.30, 721.90, 2
0.61257, 0.00020, 21381.10, 683.10, 2
0.61297, 0.00020, 20584.80, 704.40, 2
0.61337, 0.00020, 22219.00, 793.60, 2
0.61377, 0.00020, 21884.60, 696.50, 2
0.61417, 0.00020, 21074.80, 650.40, 2
0.61457, 0.00020, 20707.30, 586.80, 2
0.61497, 0.00020, 21450.40, 704.10, 2
0.61547, 0.00025, 20907.50, 754.60, 2
0.61587, 0.00020, 21846.30, 575.00, 2
0.61627, 0.00020, 21217.60, 734.30, 2
0.61667, 0.00020, 20967.80, 668.80, 2
0.61707, 0.00020, 21032.30, 808.20, 2
0.61747, 0.00020, 21412.00, 679.10, 2
0.61787, 0.00020, 20753.90, 568.60, 2
0.61837, 0.00025, 21334.80, 610.00, 2
0.61877, 0.00020, 21015.60, 717.40, 2
0.61917, 0.00020, 21350.30, 559.70, 2
0.61957, 0.00020, 21590.50, 577.60, 2
0.61997, 0.00020, 21070.70, 615.90, 2
0.62037, 0.00020, 21042.10, 689.00, 2
0.62087, 0.00025, 21526.10, 631.10, 2
0.62127, 0.00020, 22246.40, 629.30, 2
0.62167, 0.00020, 21120.20, 647.00, 2
0.62207, 0.00020, 21266.20, 565.90, 2
0.62247, 0.00020, 20426.30, 622.60, 2
0.62287, 0.00020, 21539.70, 743.10, 2
0.62327, 0.00020, 21113.10, 513.10, 2
0.62377, 0.00025, 21587.30, 731.20, 2
0.62417, 0.00020, 21420.90, 684.80, 2
0.62457, 0.00020, 21094.90, 675.80, 2
0.62497, 0.00020, 20989.10, 605.20, 2
0.62537, 0.00020, 21004.90, 524.90, 2
0.62587, 0.00025, 20758.30, 533.10, 2
0.62627, 0.00020, 21346.80, 532.50, 2
0.62667, 0.00020, 21566.80, 594.30, 2
0.62707, 0.00020, 22069.50, 591.20, 2
0.62787, 0.00040, 20130.60, 612.40, 2
0.62877, 0.00045, 20554.90, 524.30, 2
0.62917, 0.00020, 20900.40, 693.10, 2
0.62957, 0.00020, 20366.10, 595.50, 2
0.62997, 0.00020, 20554.20, 468.60, 2
0.63037, 0.00020, 21379.90, 475.10, 2
0.63087, 0.00025, 20989.10, 566.40, 2
0.63127, 0.00020, 21131.00, 504.50, 2
0.63167, 0.00020, 20934.80, 626.60, 2
0.63207, 0.00020, 20749.30, 458.00, 2
0.63247, 0.00020, 21574.10, 755.60, 2
0.63297, 0.00025, 20333.60, 556.20, 2
0.63338, 0.00021, 20044.90, 488.20, 2
0.63378, 0.00020, 20886.60, 510.80, 2
0.63418, 0.00020, 21009.80, 454.90, 2
0.63458, 0.00020, 20319.60, 501.40, 2
0.63508, 0.00025, 20962.10, 528.20, 2
0.63548, 0.00020, 21398.90, 469.40, 2
0.63588, 0.00020, 21367.40, 440.20, 2
0.63628, 0.00020, 20782.40, 440.60, 2
0.63668, 0.00020, 21565.00, 497.90, 2
0.63718, 0.00025, 20991.00, 526.60, 2
0.63758, 0.00020, 21811.40, 581.60, 2
0.63798, 0.00020, 21762.50, 560.40, 2
0.63838, 0.00020, 21682.50, 470.40, 2
0.63888, 0.00025, 20785.70, 549.90, 2
0.63928, 0.00020, 20206.60, 452.50, 2
0.63968, 0.00020, 20919.90, 546.60, 2
0.64008, 0.00020, 20989.70, 421.90, 2
0.64048, 0.00020, 20664.60, 495.10, 2
0.64098, 0.00025, 21400.30, 499.70, 2
0.64138, 0.00020, 21471.70, 443.20, 2
